Song Name,Singer Name,Song Audio,Type,Improved_Type,Mood_Tag,Final_Type
Rozana,Shreya Ghoshal ,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/7bc8d035-9afe-4bc1-a37e-e2d8a389de53.mp3,Other,Sad,Sad,Sad
Hawayein,Arijit Singh,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/9fd05713-00bb-40f0-9b4d-92fb8f9df030.mp3,Other,Other,Neutral,Other
Bulbuli,Ritu Raj | Nandita,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/e3bd07db-9b04-4621-9cb6-dd5fa26a7637.mp3,Other,Other,Neutral,Other
Emon Jodi Hoto,Joler Gaan,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/77e063f7-2e2b-4047-bb5c-f73c6aa721c2.mp3,Other,Other,Neutral,Other
JAB TAK,Armaan Malik,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/a8ab0d2d-e8a7-4b73-a0c7-ef3f908b0ff5.mp3,Other,Other,Neutral,Other
Nazm Nazm,Arko,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/f337392f-c809-423b-9252-d2fdb3be0799.mp3,Other,Other,Neutral,Other
Dheere Dheere Se Meri Zindagi,Yo Yo Honey Singh,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/06df9ddf-1e80-44ea-bafd-4f0931abad59.mp3,Other,Happy,Upbeat,Happy
Tu Hain Toh,Bunny | Sagar ,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/b3624ee7-c75a-403f-bd5c-5d8516410de4.mp3,Other,Other,Neutral,Other
Jug Jug Jeeve,Sachet Tandon | Parampara Tandon | Sachin | Jigar,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/e80ea87c-e680-4e16-aa02-954569ac3810.mp3,Other,Other,Neutral,Other
Ishq Bulaava,Sanam Puri | Shipra Goyal,https://work-pool.blr1.digitaloceanspaces.com/socialMedia_songs/cc3a13c5-a603-4570-a6fd-28f0d7ff9642.mp3,Romantic,Romantic,Romantic,Romantic
