Sno, songs,singer,lyrics,genri,album
11,brown rang,Yo Yo Honey Singh,"Kudiye ni tere, brown rang ne.

Munde patt te ni saare mere town de

Kudiye ni tere, brown rang ne.

Munde patt te ni saare mere town de

Koi kam utte jaave na

Roti paani khaave na

Gori gori kudiya nu

Koi muh laave na (x2)

Kudiye ni tere brown rang ne

Munde patt te ni saare mere town de...
Mere town de, mere town de, mere town de ni billo

Mere town de...

Mere town de, mere town de...

Excuse me miss...

Kiss kiss kiss

Kis se tu bhaage gi hun bach bach ke

Tenu rabb ne husan ditta raj raj ke

Mai kiha kaali Teri Gucci te Prada tera laal

Kitthe challe o soniyo saj dhaj ke ke...

Tere vargi naar ni huni mainu munde kehnde si

Ho gye ni tere charche star news to BBC

Brown brown skin vaali let me tell you one thing

Rabb di sauhn you're so sexy

Kudiye ni tere brown rang ne

Munde patt te ni saare mere town de

Koi kam utte jaave na

Roti paani khaave na

Gori gori kudiya nu

Koi muh laave na

Kudiye ni tere brown rang ne

Munde patt te ni saare mere town de...

Mere town de, mere town de, mere town de ni billo

Mere town de

Urre aa tenu ek gal samjaava

Maare purze nu kadi hath mai na paava aa

Vase ta mitran da bahut vadda score

But white chicks na I don't like them anymore

Ban mitran di whore

I mean mitran di ho

Tu vi tedha tedha takkein saanu.

I know...

Now don't say no no.

Mai ta tera yo yo..

Tu haan ta kar saambh lu mai tera pyo hoye.

Kudie ni tere brown rang ne

Munde patt te ni saare mere town de

Koi kam utte jaave na

Roti paani khaave na

Gori gori kudiya nu koi muh laave na.

Koi kam utte jaave na

Roti paani khaave na

Gori gori kudiya nu koi muh laave na.

Kudiye ni tere brown rang ne

Munde patt te ni saare mere town de...

Koi kam utte jaave na

Roti paani khaave na

Gori gori kudiya nu koi muh laave na.

Yo yo honey Singh (x2)",,
12,love dose ,Yo Yo Honey Singh,"Lagdi mainu jivein ambraan di queen
Meethiyan gallan kare, kudi namkeen

Lagdi mainu jiven ambraan di queen
Meethiyan gallan kare, kudi namkeen
Lagdi mainu jiven ambraan di queen
Meethiyan gallan kare, kudi namkeen

Patla ja lakk tera, lakk nu sambhal ni
One in the million lagdi kamaal ni
Patla ja lakk tera lakk nu sambhal ni
One in the million lagdi kamaal ni
Lagdi kamaal ni lagdi kamaal ni
Hoya bura haal ni, hoya bura haal ni

Tu aaja mere close
Milta na mauka roz
I want you my baby
Mujhe de de love dose (x2)

Yeah!
Lagdi mainu jiven ambraan di queen
Meethiyan gallan kare, kudi namkeen
Lagdi mainu jiven ambraan di queen
Meethiyan gallan kare, kudi namkeen

(Honey Singh Rap)
Ye chand sa roshan chehra
Baalon ka rang sunehara
Kaise dekhun teri aankhen

Aankhon pe chashme ka pehra (x2)

Iss chashme ko hata do
Aankhon ko mila lo
Aankhon ke nashile jaam
Aankhon se pila do
Lagta hum pehle mile
Ya ho mujhe Déjà vu
Idhar udhar kahan dekhe
Girl I'm talking to you
Ab aankhon se hataya chashma
Aakhein to milaao ji
Duniya waale jo bhi bole
Humse na sharmaao ji
Ab phone utthaao ji
Aur daddy ki millo ji
Unke future son-in-law
ki baat unse karwaao ji
""Hello, Uncle, namaste""
Chalo kaam ki baat pe aatein hain
Ab aap ye puchhenge ki
Aap kitne paise kamate hain?
Bas jitna aapki beti
Ek mahine mein udati hai
Ek hafte me meri gaadi
utna tel khaati hai
Hai ghar, hai paisa, hai gaadi
Ab do jodon mein ladki bhejo
Ladki hui hamaari
Uncle hai ghar, hai paisa, hai gaadi
Ab do jodon mein ladki bhejo
Ladki hui humaari, OK Bye.

Lagdi ai mainu jiven ambraan di queen
Meethiyan gallan kare, kudi namkeen (x4)",,
13,Bewafa,imran khan ,"Gal Sun Mere tu mutiyare
Ki samjhe apne aap nu?
Mere magre tu Ki ki khardi
Ayee gal bus tu hi jandi
Menu safaiyan pesh na kar
Rab kolo thora jheha darr
Sikh ja ke pyaar karne da val
Jhoote sang sade ik ik pal

Bewafa bewafa
Bewafa nikli hai tu
Ni jhootha pyar, jhootha pyar
Jhoota pyar kita hai tu
Bewafaa bewafaa
Bewafa nikli hai tu
Ni jhootha pyaar, jhootha pyaar
Jhoota pyaar kita hai tu

Jado nere mere kol tu hove
Yaadaan vichh door tu khove
Sanu sadnihaie naa oda leke
Tenu pende ode bhulekhe
Menu kuch kehndi na hun lor
Mera dil torke tu na hun tor
Pyaar tera chaida na hor
Saade pyar di nishaniyat tu mor

Bewafa bewafa
Bewafa nikli hai tu
Ni jhootha pyar, jhootha pyar
Jhoota pyaar kita hai tu
Bewafa bewafa
Bewafa nikli hai tu
Ni jhootha pyar, jhootha pyar
Jhoota pyar kita hai tu

Mere zindagi'ch kyu tu aayi?
Yaari kyu ni tu nibhayi?
Kiti sade naal bewafayi
Sanu de kuriyee jawaab?
Dus de kedi galti
Sanu deriy ae sazaaaa?
Rovengi menu yaad karke
Rovengi menu yaad karke

Bewafa bewafa
Bewafa nikli hai tu
Ni jhootha pyar, jhootha pyar
Jhoota pyar kita hai tu
Bewafaaa bewafaaa
Bewafa nikli hai tu
Ni jhootha pyar, jhootha pyar
Jhoota pyaar kita hai tu

Bewafa bewafa
Bewafa nikli hai tu
Ni jhootha pyar, jhootha pyar
Jhoota pyaar kita hai tu
Bewafaaa bewafaaa
Bewafa nikli hai tu
Ni jhootha pyar, jhootha pyar
Jhoota pyaar kita hai tuu",,
14,Amplifier,imran khan ,"Kaaliyan baariyan ve gaddiyaan nu main lawaan
Speed main 220 di chalaan, police de samne main
Nai
Rukda
I am a night rider

Breakaan maar maar tyre di main cheekh kad da
Sare loki takde we ki hogeya, lagda we aj mera dil
Ruk gya
Unu main puchda

Ni gaddi sadi behja ni jattiye,
Ni door tenu lehja, we adiye
Ni woofer tu meri, meri
Main tera amplifier, fier

Ni gaddi sadi behja ni jattiye,
Ni door tenu lehja, we adiye
Ni woofer tu meri, meri
Main tera amplifier, fier

Gaddi meri tenu hi awaaz mardi,
Black leather seetaan uttey aah beh ni
Tenu main weh sair karawanga we ni
Puri duniya di

Kehndi, garmi we lagdi hai seene ni
Pijh gai weh kurti paseene di
40 degree sidi thoop pendi
On kara AC

Ni gaddi sadi behja ni jattiye,
Ni door tenu lehja, we arriye
Ni woofer tu meri, meri
Main tera amplifier, fier

Ni gaddi sadi behja ni jattiye,
Ni door tenu lehja, we arriye
Ni woofer tu meri, meri
Main tera amplifier, fier

Jaandi eh club das tere ki irade AHA
DJ nu puch ki lagwa ve tere gaane ACHA
Lehja main lehja tenu jithe v tu chaahwain
Ik waari aawe mood banawe

Jaandi eh club das tere ki irade AHA
DJ nu puch ki lagwa ve tere gaane ACHA
Lehja main lehja tenu jithe v tu chaahwain
Ik waari aawe mood banawe

Ni gaddi sadi behja ni jattiya
Ni door tenu lehjja we adiye
Ni woofer tu meri, meri
Main tera amplifier fier

Ni gaddi sadi behja ni jattiya
Ni door tenu lehjja we adiye
Ni woofer tu meri, meri
Main tera amplifier fier

Ni gaddi sadi behja ni jattiya
Ni door tenu lehjja we adiye
Ni woofer tu meri, meri
Main tera amplifier fier

Ni gaddi sadi behja ni jattiya
Ni door tenu lehjja we adiye
Ni woofer tu meri, meri
Main tera amplifier fier

Main tera amplifier fier fier
Main tera amplifier fier fier
Main tera amplifier fier fier
Main tera amplifier fier fier",,
15,Satisfya,imran khan ,"Gaddi Lamborghini peele rang di
Menu kendi ay chala ve slowly
Oh pehle gear te oh, jadon mordi
O menu lagni ay the one and only

Ay ay bechare mundeyan de dilaan di tu qaatil
Vekhade meny kiven javengi tu faster
Dabb de tu gas ni a little bit harder
A bit harder yo

I'm a rider
Provider
Bring the heat girl
I will bring the fire
And my name keeps
Going worldwide now
So my job is to satisfy yaaa (aaa, ay, satisfy aaa, ai)

Call me call me Mr Makaveli
I make 'em disappear just like Harry Houdini
Ve ni me lyrically so insane ah
So I'm a chest te diamond diya Chainaa

Sanu na kise di vi cheez di problem
Kehnde lok they see me as a problem
Samaj na aave menu ki ay problem
I give them a cure with a fresh new album

I'm a rider
Provider
Bring the heat girl
I will bring the fire
And my name keeps going worldwide now
So my job is to satisfy yaaa (aaa, ay, satisfy aaa, ai)

Never gonna stop while I'm hard working
I am in a zone where you can't step in
Hit nahio Baneya ve straight to the bin
This is the way I like ta workin'

Never gonna stop while I'm hard working
I am in a zone where you can't step in
Hit nahio Baneya ve straight to the bin
So move out the way ay, ay, ay

I'm a rider
Provider
Bring the heat girl
I will bring the fire
And my name keeps going worldwide now
So my job is to satisfy yaaa (aaa, ay, satisfy aaa, ai)

I'm a rider
Provider
Bring the heat girl
I will bring the fire
And my name keeps
Going worldwide now
So my job is to satisfy yaaa (aaa, ay, satisfy aaa, ai)",,
16,Illuminati,Sushin Shyam | Dabzee | Vinayak Sasikumar,"Naadin Nanma..kane
Ponma..kane Muthaayavane
Minnum Sooriyanum Chandiranum
Onnayavane..
Kaalam Kaath Vecha
Rakshakane Samharakane
Njangalk Annanaayi Vannavane
Bhayame Maaripo Nee Annan Vannal
Kumbittu Nillu
Iruttil City Vaazhum Raajavukk
Ellaarum Sullu
Ivane Thozhuvaanay Ennum Janathirakk
Kaalonnodethu Vecha Swargam Polum
Underworld
Illu...minaatti
Illu...minaatti
Annan Thaninaadan
Kola Mallu..minaatti...
Illu...minaatti
Illu...minaatti
Annan Thaninaadan
Kola Mallu..minaatti...

Interlude
***
***


Penakathi Kondu Vidyaarambam
Kuth Harisree
Thokin Kaanchivali Sheelam Pande
Maaratha Vyyadhi..
Nenchil Poottivechor..angakali
Theeratha Vaashi
Annan Meesha Vechoraattapuli..
Idayaan Vannorukkum Ninnorukkum
Pandeyaapath
Katta Chora Kondu Juicadich
Soda Sarbath
Nodiyil Madhayaanem Merukidum Karuth..
Ivane Padachu Vitta Kadavulukk
Pathil Pathu

Illu...minaatti
Illu...minaatti
Annan Thaninaadan
Kola Mallu..minaatti...
Illu...minaatti
Illu...minaatti
Annan Thaninaadan
Kola Mallu..minaatti...

Interlude
****
****


Ulakithilaarodum Tholkaa Veeran
Karalithil Ammakaayi Thengum Paithal..
Madiyil Paaloottum Sneham Neeye...
Maranjo Thaaraattathenne..
Karayaan Kaneerilla
Kaneeroppan Aarum Porenda..
Eriyum Moonamkannil Kobam Kollum
Samhaara Moorthi
Maranam Padivaathil Kadannidaan Madikkum
Bombay Nagaramivan Varunna Dinam
Swapnam Kaanum

Tha..Nan...Nanana
Tha..Nan...Nanana
Tha..Nan..Nananana Nananana
Nananana

Tha..Nan...Nanana
Tha..Nan...Nanana
Tha.. Na..Nananana Thananana
Nananana

Illu...minaatti
Illu...minaatti
Annan Thaninaadan
Kola Mallu..minaatti...
Illu...minaatti
Illu...minaatti
Annan Thaninaadan
Kola Mallu..minaatti...

TwisTd Creations
*****",,
17,Armadham,Jithu Madhavan |Fahadh Faasil | Sushin Shyam | Vinayak| Nazriya| Anwar Rasheed,"Oru Salputhran Piranneda Pandu
Mahaa Adhyaayam Thudakkamaayannu
Idhu Dhikkettum Muzhangidum Paattu
Kodum Santhosha Pirandha Naal Vaazhthu

Sneham Vannaal Madhura Thenu
Veenjaayi Thoovum Andhi Chaaru
Kopam Kondaal Akame Nonthaal
Veraarum Vendini Villanmaaru

Aaha Armadham
Aarppum Armadham
Aarthu Ponthatte
Aaghosha Prakambanam


Aaha Armadham
Aarppum Armadham
Aarthu Ponthatte
Aaghosha Prakambanam

Eriyatte Thirikal
Urukatte Mezhuku
Valaratte Vayasu
Enni Thalaru

Podi Thattaa Mukhame
Iru Kannin Azhake
Purushathwa Thikave
Narakaalam Nee Vaazhu

Kadalum Karayuminnilakkamalle
Samayam Nilakkuvaan Orukkamalle
Ithu Nin Sudhinamalle

Aaha Armadham
Aarppum Armadham
Aarthu Ponthatte
Aaghosha Prakambanam

Aaha Armadham
Aarppum Armadham
Aarthu Ponthatte
Aaghosha Prakambanam

Aaha Armadham
Aarppum Armadham
Aarthu Ponthatte
Aaghosha Prakambanam",,
18,Vaathi Coming,Anirudh Ravichander | Lokesh Kanagaraj,"Aan! Aaha! Aaha! Aahha! Aaha! Aah!

Aey! Ennada Ithu Sappa Beat–U Koluthungada
Aah! Majapa Majapa!
Idhan Idhan Idhan!
Aey! Adhi Vaangada Vaathi Coming Otthae

Aan! Aey! Otthae!

Dhakka Dhunna!

Dumpa Dumpa!

Aey!


Pilu Pilu Pilu Pilaami
Pilu Pilu Pilu Aey!
Pilu Pilu Pilu Pilaami Pilu Pilu Pilu
Yeh! Pilu Pilu Pilu Pilaami Pilu Pilu Pilu Pilaami
Pilu Pilu Pilu Pilu Pilu Pilu Vaathi Coming Otthae

Urraagara Katthae!


Aey Tharukkula Triple–U Utta
Salpila Silipi Thotta
Thogurula Thagara Utta Paguru Agurudhaan
Silkila Silki Utta Kilpuli Salti Thotta
Bijilila Bilpi Utta Jettak Jarukkudhaan

Aiyo!

Peratti Sollae Peratti Sollae

Dumukku Dumma! Dumukku Dumma

Anna Peratti Vudu Sethara Vudu

Otthae!

Aeh Yeh! Aah!

Ayio!


Anna Peratti Vudu Sethara Vudu

Vaathi Coming Otthae!
",,
19,Arabic Kuthu,Nelson | Anirudh,"Halamithi Habibo, Halamithi Habi Vandhale
Halamithi Habibo, Halamithi Habi Yanda,
Halamithi Habibo, Halamithi Habi Vandhale
Halamithi Habibo, Halamithi Habibo
Malama Pitha Pithadhe
Malama Pitha Pithadhe
Mala Pitha Pithadhe, Malama Pithadhe
Hey Malama Pitha Pithadhe
Malama Pitha Pithadhe, Mala Pitha Pithadhe
Malama Pithadhe

Holi Holi Pakathula Sirikkum Rangoli
Jolly Jolly Vekkathula Mayangura Doli
Gali Gali Mothathula Avanum Dhan Gali
Jolly Jolly Adipoli

Halamithi Habibo, Halamithi Mithi Vandhale,
Halamithi Habibo, Halamithi Mithi Vandhale,
Halamithi Habibo, Halamithi Mithi Vandhale,
Halamithi Habibo, Halamithi Mithi O,

Oh Cutie Nee Sweetie, Un Beauty Adhil Mati
Na Mellamma Mellamma Gali
Adha Sollala Sollala Podi
Madhal Vati Padam Kati, Enna Vati Kanna Kati
Love A Konjama Konjama Yethi
Enna Senjita Senjita Oruthi

Ivan Yaro Sokka Vachane
En Manasukulla Kuzhandhai
Pola Konjikittane Love Ah Vachane
Ivan Yaro Kick Ah Vachane
En Vayasukulla Mudhal Mazhaya
Feel A Vachane

Halamithi Habibo Halamithi
Halamithi Habibo Halamithi
Halamithi Habibo Halamithi
Halamithi Habibo Halamithi, Habida!

Hey Beedha Balihabi, Balibadhi Balihabi
Balihabeedha Balihabi, Valle Valle Balihabi
Hey Beedha Balihabi, Balibadhi Balihabi
Balihabeedha Balihabi, Valle Valle Balihabi

Halwa Ee Balubabeedhadhe Ee Balubabeedha
Halwa Ee Balubabeedhadhe Eh Vathadhe
Halwa Ee Balubabeedhadhe Ee Balubabeedha
Halwa Ee Balubabeedhadhe Eh Vathadhe

Holi Holi Pakathula Sirikkum Rangoli
Jolly Jolly Vekkathula Mayangura Doli
Gali Gali Mothathula Avanum Dhan Gali
Jolly Jolly Adipoli

Halamithi Habibo, Halamithi Habi Vandhale
Halamithi Habibo Halamithi Habi Vandha
Halamithi Habibo, Halamithi Habi Vandhale
Halamithi Habibo Halamithi Habibo

Oh Cutie Nee Sweetie Un Beauty Adhil Mati
Na Mellamma Mellamma Gali
Adha Sollala Sollala Podi
Madhal Vati Padam Kati, Enna Vati Kanna Kati
Love A Konjama Konjama Yethi
Enna Senjita Senjita Oruthi

Ivan Yaro Sokka Vachane
En Manasukulla Kuzhandhai
Pola Konjikittane Love A Vachane
Ivan Yaro Kicka Vachane
En Vayasukulla Mudhal Mazhaya
Feel A Vachane

Halamithi Habibo, Halamithi Habi Vandhale
Halamithi Habibo Halamithi Habi Vandha
Halamithi Habibo, Halamithi Habi Vandhale
Halamithi Habibo

Malama Pitha Pithadhe
Malama Pitha Pithadhe
Mala Pitha Pithadhe Malama Pithadhe
Hey Malama Pitha Pithadhe, Malama Pitha Pithadhe
Mala Pitha Pithadhe Malama Pithadhe

Hey Beedha Balihabi Balibadhi Balihabi
Balihabeedha Balihabi Valle Valle Balihabi
Halamithi Habibo.",,
20,Hale Dil,Emraan Hashmi,"Hey kaash, kaash yun hota
Har shaam saath tu hota
Chup-chaap dil na yun rota
Har shaam saath tu hota

Guzara ho tere bin guzara ab mushqil hai lagta
Nazara ho tera hi nazara ab har din hai lagta

Hale dil tujhko sunata
Dil agar yeh bol pata
Bakhuda tujhko hai chahta jaan

Tere sang jo pal bitaata
Waqt se main woh maang laata
Yaad karke muskuraata haan
Woo oo ..

Tu meri raah ka sitaara
Tere bina hoon main awaara
Jab bhi tanhaai ne sataaya
Tujhko besaakhta pukaara

Chaahat hai meri la fanaa
Par meri jaan dil, main hoon rakhta haan

Haal e dil tujhko sunata
Dil agar yeh bol paata
Bakhuda tujhko hai chahta jaan

Tere sang jo pal bitaata
Waqt se main woh maang lata
Yaad karke muskuraata haan
Woo….

You’re the one
I love whats meant to be
I know you feel it too
Each time I look at you

Khwaabon ka kab tak loon sahara
Ab toh tu aaja khudara
Meri yeh dono paagal aankhein
Har pal maange tera nazaara
Aa samjhaaun inko kis tarah
Inpe mera bas nahin chalta haan

Haal e dil tujhko sunata
Dil agar yeh bol paata
Bakhuda tujhko hai jata jaan

Tere sang jo pal bitata
Waqt se main woh maang lata
Yaad karke muskuraata haan
Woo oo…",,
21,Kaho Na Kaho,"Amir Jamal, Anu Malik","Kaho na kaho yeh aankhen bolti hain
O sanam o sanam, o mere sanam
Mohabbat ke safar mein yeh sahaara hai
Vafa ke saahilon ka yeh kinaara hai

Baadalon se oonchi uraanoon ki
Sab se alag pehechaanoon ki
Use hai pyaar ki kahaani mansoob
Aati jaati saanson ki rawaani mansoob

Kamalli ma'aa wala hatta' baidi'am
Niki aldi hawa kamalli ma'aa
Kamalli b'ali uffal di walaa bansaa'
Kamalli waa hishmillah hataa banu wayyaa

Kaho na kaho yeh aankhen bolti hain
O sanam o sanam, o mere sanam
Mohabbat ke safar mein tu hamaara hai
Andhere raaston ka tu sitaara hai

Kamalli habibi mah'ta dilai
I'layya 'anayya bindaa 'ilai
Wila'ha walayla kulli ku
Yakuniya habibi mahta dillai

Tu hi jeene ka sahaara hai
Meri maujon ka kinaara hai
Mere liye yeh jahaan hai tu
Tujhe mere dil ne pukaara hai

Kaho na kaho yeh saansein bolti hain
O sanam o sanam, o mere sanam
Labon pe naam tere bas hamaara hai
Yeh tera dil bhi jaana hamaara hai

(Kaho na kaho yeh aankhen bolti hain
O sanam o sanam, o mere sanam
Mohabbat ke safar mein yeh sahaara hai
Vafa ke saahilon ka yeh kinaara hai

Khwaabon mein tujhko sanwaara hai
Jazbon mein apne utaara hai
Meri yeh aankhen jidhar dekhe
Tera hi chehra nazaara hai",,
22,Rowdy Baby,Yuvan Shankar Raja,"Hey en goli sodavae
En kari kozhambae
Un kutty puppy naan
Take me
Take me

Hey en silku satta
Nee weightu katta
Loveu sotta sotta
Talk me
Talk me


Hey my dear machaan
Nee manasu vechaa
Namma orasikkalaam
Nenju jigu jigu jaa

Hey my dear raani
En dreamula vaa nee
Namma onna sera
Fire pathikkiruchaa

Raa… namma beachu
Pakkam pothaam
Oru dappang kuthu vesthaam
Nee ennudaiya rowdy baby


Raa…you are my
Only girlfriendu
I will give you poochendu
We will make us new trendu baby


Pothaam…
Vesthaam…
Rowdy baby…


Girlfriendu…
Poochendu…
New trendu baby


Rowdy baby…
Ra ra ra ra rowdy baby…


Unnala yei moodaachu
My hormoneu balanceu damageu

Yei kamaatchi en meenatchi
Intha maarikkum unmela kannaachi


One plus onnu
Two maamaa
You plus me three maamaa


Vaadi jhansi raani
En krishnaveni
I will buy you pony
Aththa ottinnu vaa nee

En mandhiravaadhi
Nee kedikku kedi
Naan unnulla paadhi
Namma semma jodi


Rowdy baby

Yei rowdy baby
Rowdy baby
Rowdy baby
Rowdy baby
Rowdy rowdy rowdy rowdy
Rowdy baby

Rowdy baby
Hahaan hahaaan
Rowdy baby
Hahaan hahaaan
Rowdy baby
Hahaan hahaaan


Hey en goli sodavae
En kari kozhambae
Un kutty puppy naan
Take me
Take me

Hey en silku satta
Nee weightu katta
Loveu sotta sotta
Talk me
Talk me


Hey my dear machaan
Hahaan hahaan
Nee manasu vechaa
Hahaan hahaan
Namma orasikkalaam
Hahaan hahaan
Nenju jigu jigu jaa
Hey hey hey

Hey my dear raani
En dreamula vaa nee
Namma onna sera
Fire pathikkiruchaa

Raa… namma beachu
Pakkam pothaam
Oru dappang kuthu vesthaam
Nee ennudaiya rowdy baby


Raa…you are my
Only girlfriendu
I will give you poochendu
We will make us new trendu baby


Rowdy baby
Rowdy baby
Rowdy baby
Rowdy baby

Rowdy baby
Hahaan hahaaan
Rowdy baby
Hahaan hahaaan
Rowdy baby
Hahaan hahaaan

Rowdy baby
Hahaan hahaaan
Rowdy baby
Hahaan hahaaan
Rowdy baby
Hahaan hahaaan",,
23,Jimikki Ponnu,Thaman S | Vamshi Paidipally,"Aatha aatha kannala patha,
Heat-a heat-a look-a vitta,
Beat-a beat-a vandhale treat-a,
Slip aana lipala goka moka.
Hey jimikki jimikki jimikki ponnu,
Minikki minikki minikki kannu,
Varudhe alaiyaatham,
Walking varum chocolate selaiyatham.
Hey dusky dusky dusky rose-u,
Husky husky husky voice-u,
Thooral azhagattham,
Oorukulla angel nadamattam.
Enna katti izhuthavan nee dhane,
Naanum ippo unakkoru fan dhane,
Enna vandhu orasura sakkula,
Uyirula thakkura kalawara kol neeye.
Ekka chakka azhaganum nee dhane,
Konjam konjam pazhaganum naan dhane,
Un azhaga varaiyura kaiyyil,
Karaiyura maiyyul amudhatha thelichaane.
Andrange vandhadhum indha nilawa,
Indringe vandhadhum andha nilawa,
Inbam perum iruvar kannukkum,
Vennilavu ondre allawa.
Hey hey nee nee,
Hey makeup panna,
Nilavil karai onnu undakkudhae.
Hey kannatti nee thaan di,
Udaiyura naa inga,
Unga veettu name boardil,
Mamanoda perenga.
Friend zone veroda cut aagudhu,
Unnodu en life set aagudhu,
Un heart ennoda hut-a aagudhu,
Odadhe onnale slip aagudhu.
Dinner-ukku un muttham oru cup-u,
Doctorukku unna kodu enna thapu,
Cute panni kuru kuru paakkura,
Kurumbula saikkura egarudhu un hipe-u.
Aatha aatha kannala patha,
Heat-a heat-a look-a vitta,
Beat-a beat-a vandhale treat-a,
Slip aana lipala goka moka.
Andrange vandhadhum indha nilawa,
Indringe vandhadhum andha nilawa,
Inbam perum iruvar kannukkum,
Vennilavu ondre allawa.",,
24,Ranjithame,Vamshi Paidipally | Thaman S,"Kattu malli katti vacha,
Vatta karuppu pottu vacha,
Sandhiranil rendu vacha,
Sara paambu iduppa vacha.
Natchathira thotti vacha,
Karumbu kodu nethi vacha,
Inji vetti kannam vacha,
Immathundu vetkam vacha.
Nethi pottil enna thooki,
Pottu pola vachavale,
Suththu pottu oore paakka,
Kannu pattu vandhavale.
Thethu pallu orathula,
Uchu kottum nerathula,
Pattunu pathiye,
Uccha kattam thottavale.
Ranjithame ,
Hey ranjithame.
Hey ranjithame ranjithame,
Manasa kalaikum mandhirame,
Ranjithame ranjithame,
Unna udhadu valikka konjanume.
Aadi ranjithame ranjithame,
Manasa kalaikum mandhirame,
Ranjithame ranjithame,
Unna udhadu valikka konjanume.
Vandhadhum vandhadhum vandhadhum,
Manasu sathirame sathirame,
Naan nithira nithira nithira,
Kedukkum sathirame sathirame.
Kattu malli katti vacha,
Gala galaka pottu vacha,
Sandhiranil rendu vacha,
Sara paambu iduppa vacha.
Vacha pottil enna thooki,
Nethi kamathi pottu vachavale,
Uchu kottum nerathakkula,
Uccha kattam thottavale.
Ranjithame ,
Hey ranjithame.
Alangaara alli nela,
Aada pottu ninnale,
Alungadha atha maga,
Aada vandhale.
Ada kaathu vacha mutham,
Anju aaru thandhale,
Mala oothu mooligaya,
Mucha thandhaale.
Onnaaga rendaanga,
Eppa thedhi nappaanga,
Moonaanga naalanga,
Nalla sedhi nappaanga.
Aamanaga aamanaga,
Vaaraanga vaaraanga,
Adi sandhaname sanjalame,
Muthu petha rathiname.
Ranjithame ,
Hey ranjithame.
Hey ranjithame ranjithame,
Manasa kalaikum mandhirame,
Ranjithame ranjithame,
Unna udhadu valikka konjanume.
Kattu malli katti vacha,
Gala galaka pottu vacha,
Sandhiranil rendu vacha,
Saara paambu iduppa vacha.
Vacha pottil enna thooki,
Nethi kamathi pottu vachavale,
Suththu pottu oore paakka,
Uchcha kattam thottavale.
Ranjithame ,
Hey ranjithame.
Hey ranjithame ranjithame,
Manasa kalaikum mandhirame,
Ranjithame ranjithame,
Unna udhadu valikka konjanume.
Ranjithame ranjithame,
Manasa kalaikum mandhirame,
Ranjithame ranjithame,
Unna udhadu valikka konjanume.
Vandhadhum vandhadhum vandhadhum,
Manasu sathirame sathirame,
Naan nithira nithira nithira,
Kedukkum sathirame sathirame.
Ranjithame ,
Hey ranjithame.
Hey ranjithame,
Hey ranjithame,
Hey ranjithame.",,
25,Naa Ready,Lokesh Kanagaraj | Anirudh Ravichander,"Naa ready dhaan varava,
Annan naa erangi varava.
Thael kodukku,
Singatha seendathapa,
Evan thaduthum,
En route’u maradhappa.
Naa ready dhaan varava,
Annan naa thaniya varava.
Thara nadungura,
Parai adikanum naa aadathan,
Veral idukula,
Theepandham naa yethathan.
Pathathu bottle naa kudika,
Andala konda cheers adika,
Keda vetti kondanga da,
Yenpasi naa thanika.
Pogayala aruvadikku thayarana,
Opponent’a kalaiyeduthu,
Thalavaliya pokkipadhu,
Enga thalayeluthu.
Aadadha aatam potta,
Katti vachi koni le katti,
Lorry le yethi arththupoda,
Anupuduvom factory ku dei.
Ella blueprint um theriyum,
Mission successful ah mudiyum,
Idaye vandha unnayum padayal,
Veppen kolasammaikki.
Adhoda aadu sarayam,
Beedi suruttu gang la illa,
Poi purattu velayat pola,
Vela nadathum world wide link.
Ey ella oorum namma rules,
Uruvadhu da namma tools,
Aththana peru asaivum,
Orae mari sync-u.
Singles illa gumbal,
Sanda gelichi gelichi,
Kalachi poiten,
Paththavachu pogaya utta,
Power kick.
Pogayala pogayala,
Power kick.
Milaga thatti mutti,
Kuzhambula kothikudhu paar,
Andha kaal azhagu.
Adi dhadi vettu kuthu,
Engal vettu samayal vara,
Ada kalanthiruku.
Kaththi palla kaththi enga,
Nna kutha kaathiruku,
Adhu dha kanaku.
Indha kaththi vera,
Ragam vena sketch-u enakku,
Puridha unaku.
Milli ulla pona podhum,
Ghilli vella varuvan da,
Milli ulla pona podhum,
Ghilli vella varuvan paar.
Oorukull enakoru pear iruku,
Kettalae adhirum paar unaku,
Poster adi annan ready,
Kondadi koluthanum di.
Naaa ,
Ey ann varar valivudu,
Annan naa erangi varava.
Thael kodukku,
Singatha seendathapa,
Evan thaduthum,
En route’u maradhappa.
Naa ready dhaan varava,
Annan naa thaniya varava.
Thara nadungura,
Parai adikanum naa aadathan,
Veral idukula,
Theepandham naa yethathan.
Pathathu bottle naa kudika,
Andala konda cheers adika,
Keda vetti kondanga da,
Yenpasi naa thanika.",,
